name,domain,industry,employee_count,city,state,country
Northstar Metrics,northstar-metrics.com,Computer Software,120,Austin,Texas,United States
Fieldglow,fieldglow.io,SaaS,80,Berlin,Berlin,Germany
Bramblecart,bramblecart.com,Internet Software & Services,210,Toronto,Ontario,Canada
Loomwork,loomwork.io,SaaS,340,Amsterdam,North Holland,Netherlands
Verdant Analytics,verdantanalytics.com,Computer Software,65,London,England,United Kingdom
Circuiton,circuiton.io,Internet Software & Services,490,Dublin,Leinster,Ireland
Haloworks,haloworks.com,SaaS,150,Paris,Ile-de-France,France
Quillstack,quillstack.io,Computer Software,55,San Francisco,California,United States
Ironforge Manufacturing,ironforgemfg.com,Industrial Manufacturing,300,Detroit,Michigan,United States
TinyStartup Co,tinystartup.io,Computer Software,4,Miami,Florida,United States
MegaCorp Software,megacorpsoftware.com,Computer Software,5000,New York,New York,United States
Gambit Gaming Systems,gambitgaming.com,Gambling & Casinos,150,Las Vegas,Nevada,United States
Riverside Software Solutions,riversidesoftware.com,Computer Software,200,Mumbai,Maharashtra,India
Unknown Ventures,,SaaS,90,Chicago,Illinois,United States
